District,Route,County,Postmile,Description,Back_Peak_Hour,Back_Peak_Month,Back_AADT,Ahead_Peak_Hour,Ahead_Peak_Month,Ahead_AADT
12,1,ORA,R0.129,"DANA POINT, JCT. RTE. 5",0,0,0,3800,40500,37500
12,1,ORA,R0.78,"DANA POINT, DOHENY PARK ROAD",3800,40500,37500,3900,42000,38700
12,1,ORA,4.864,BREAK IN ROUTE,0,0,0,0,0,0
12,1,ORA,8.43,"LAGUNA BEACH, MOUNTAIN ROAD",2900,39500,36800,2900,39500,36800
12,1,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3050,41000,38500,3450,41000,38500
12,1,ORA,9.6,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3400,40000,37400,3400,40000,37400
12,1,ORA,11.5,"LAGUNA BEACH, NORTH CITY LIMITS",3200,38000,35500,3200,39000,35500
12,1,ORA,14.057,BREAK IN ROUTE,0,0,0,0,0,0
12,1,ORA,R18.073,"NEWPORT BEACH, BAYSIDE DRIVE",4050,50000,45700,4850,60000,54600
12,1,ORA,R18.446,"NEWPORT BEACH, DOVER DRIVE",4300,53000,48500,4300,53000,48500
12,1,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55",4400,54000,49200,5400,52000,49200
12,1,ORA,20.37,"NEWPORT BEACH, BALBOA BLVD/SUPERIOR AVE",5500,52000,49000,5500,52000,49000
12,1,ORA,21.549,SANTA ANA RIVER BRIDGE,4250,41000,38500,4250,41000,38500
12,1,ORA,22.09,"HUNTINGTON BEACH, BROOKHURST STREET",4300,41500,39000,4350,41500,39000
12,1,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39",4200,40500,38000,4200,40500,38000
12,1,ORA,25.89,"HUNTINGTON BEACH, GOLDENWEST STREET",4100,39500,37000,4100,39500,37000
12,1,ORA,29.89,"SUNSET BEACH, WARNER AVENUE",4950,47500,44300,4900,47000,44300
12,1,ORA,32.721,"SEAL BEACH, SEAL BEACH BOULVARD",4450,49000,46000,4450,49500,46000
12,1,ORA,33.719,LOS ANGELES/ORANGE COUNTY LINE,4000,45500,41500,0,0,0
7,1,LA,0,LOS ANGELES/ORANGE COUNTY LINE,0,0,0,4000,46000,43000
7,1,LA,1.86,"LONG BEACH, BELLFLOWER BOULEVARD",3400,38500,36000,2600,29000,27000
7,1,LA,1.973,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",2600,29000,27000,3500,37500,35500
7,1,LA,2.751,"LONG BEACH, ANAHEIM STREET",3500,37500,35500,2900,31500,29500
7,1,LA,5.011,"LONG BEACH, CHERRY AVENUE",3700,38500,37500,3750,39500,38000
7,1,LA,6.26,"LONG BEACH, LONG BEACH BOULEVARD",3300,34500,33500,3300,37000,35500
